Time,Eval,TimeUsed,Moves,Board
110,0.19,"(54.8, 38.3)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP3/3P1BPP/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 11
111,0.19,"(54.8, 38.3)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP3/3P1BPP/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 11
112,0.19,"(54.8, 38.3)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP3/3P1BPP/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 11
113,0.19,"(54.8, 38.3)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP3/3P1BPP/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 11
114,0.19,"(54.8, 38.3)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP3/3P1BPP/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 11
115,0.19,"(54.8, 38.3)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP3/3P1BPP/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 11
116,0.19,"(54.8, 38.3)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP3/3P1BPP/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 11
117,0.19,"(54.8, 38.3)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP3/3P1BPP/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 11
118,0.19,"(54.8, 38.3)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP3/3P1BPP/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 11
119,0.19,"(54.8, 38.3)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP3/3P1BPP/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 11
120,0.19,"(54.8, 38.3)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP3/3P1BPP/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 11
121,-0.37,"(82.5, 38.3)",['g4g5'],r2qkb1r/pp1nnpp1/2p1p2p/3pP1P1/3P1B1P/3Q1N2/PPPN1P2/R3K2R b KQkq - 0 11
122,-0.37,"(82.5, 38.3)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP1P1/3P1B1P/3Q1N2/PPPN1P2/R3K2R b KQkq - 0 11
123,-0.37,"(82.5, 38.3)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP1P1/3P1B1P/3Q1N2/PPPN1P2/R3K2R b KQkq - 0 11
124,-0.37,"(82.5, 38.3)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP1P1/3P1B1P/3Q1N2/PPPN1P2/R3K2R b KQkq - 0 11
125,-0.37,"(82.5, 38.3)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP1P1/3P1B1P/3Q1N2/PPPN1P2/R3K2R b KQkq - 0 11
126,-0.37,"(82.5, 38.3)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP1P1/3P1B1P/3Q1N2/PPPN1P2/R3K2R b KQkq - 0 11
127,-0.37,"(82.5, 38.3)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP1P1/3P1B1P/3Q1N2/PPPN1P2/R3K2R b KQkq - 0 11
128,-0.37,"(82.5, 38.3)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP1P1/3P1B1P/3Q1N2/PPPN1P2/R3K2R b KQkq - 0 11
