Move,TimeUsed,TotalTime,Eval
611,-5.4,"(404.8, 165.2)",[]
612,-5.4,"(404.8, 165.2)",[]
613,-5.4,"(404.8, 165.2)",[]
614,-5.4,"(404.8, 165.2)",[]
615,-5.4,"(404.8, 165.2)",[]
616,-5.4,"(404.8, 165.2)",[]
617,-5.4,"(404.8, 165.2)",[]
618,-5.4,"(404.8, 165.2)",[]
619,-5.4,"(404.8, 165.2)",[]
620,-5.4,"(404.8, 165.2)",[]
621,-5.4,"(404.8, 165.2)",[]
622,-5.4,"(404.8, 165.2)",[]
623,-5.4,"(404.8, 165.2)",[]
624,-5.4,"(404.8, 165.2)",[]
625,-5.4,"(404.8, 165.2)",[]
